query,rank,score,id,chapter,verse,sanskrit,english
What does the Bhagavad Gita say about karma?,1,0.10234464704990387,BG17.21,17,21,"यत्तु प्रत्युपकारार्थं फलमुद्दिश्य वा पुनः |
दीयते च परिक्लिष्टं तद्दानं राजसं स्मृतम् ||१७-२१||","17.21 And, that gift which is given with a view to receive something in return, or looking for a reward, or reluctantly, is held to be Rajasic."
What does the Bhagavad Gita say about karma?,2,0.09437843412160873,BG18.50,18,50,"सिद्धिं प्राप्तो यथा ब्रह्म तथाप्नोति निबोध मे |
समासेनैव कौन्तेय निष्ठा ज्ञानस्य या परा ||१८-५०||","18.50 Learn from Me in brief, O Arjuna, how he who has attained perfection reaches Brahman (the Eternal), that supreme state of knowledge."
What does the Bhagavad Gita say about karma?,3,0.0930175632238388,BG18.78,18,78,"यत्र योगेश्वरः कृष्णो यत्र पार्थो धनुर्धरः |
तत्र श्रीर्विजयो भूतिर्ध्रुवा नीतिर्मतिर्मम ||१८-७८||","18.78 Wherever is Krishna, the Lord of Yoga; wherever is Arjuna, the wielder of the bow; there are prosperity, victory, happiness and firm policy; such is my conviction."
What does the Bhagavad Gita say about karma?,4,0.08667333424091339,BG17.20,17,20,"दातव्यमिति यद्दानं दीयतेऽनुपकारिणे |
देशे काले च पात्रे च तद्दानं सात्त्विकं स्मृतम् ||१७-२०||","17.20 That gift which is given to one who does nothing in return, knowing it to be a duty to give in a fit place and time to a worthy person, that gift is held to be Sattvic."
What does the Bhagavad Gita say about karma?,5,0.07915802299976349,BG17.11,17,11,"अफलाङ्क्षिभिर्यज्ञो विधिदृष्टो य इज्यते |
यष्टव्यमेवेति मनः समाधाय स सात्त्विकः ||१७-११||","17.11 That sacrifice which is offered by men without desire for reward as enjoined by the ordinance (scripture), with a firm faith that to do so is a duty, is Sattvic or pure."
What does Krishna say about controlling the mind?,1,0.17555828392505646,BG18.78,18,78,"यत्र योगेश्वरः कृष्णो यत्र पार्थो धनुर्धरः |
तत्र श्रीर्विजयो भूतिर्ध्रुवा नीतिर्मतिर्मम ||१८-७८||","18.78 Wherever is Krishna, the Lord of Yoga; wherever is Arjuna, the wielder of the bow; there are prosperity, victory, happiness and firm policy; such is my conviction."
What does Krishna say about controlling the mind?,2,0.15206313133239746,BG18.75,18,75,"व्यासप्रसादाच्छ्रुतवानेतद्गुह्यमहं परम् |
योगं योगेश्वरात्कृष्णात्साक्षात्कथयतः स्वयम् ||१८-७५||","18.75 Through the grace of Vyasa I have heard this supreme and most secret Yoga direct from Krishna, the Lord of Yoga, Himself declaring it."
What does Krishna say about controlling the mind?,3,0.14599433541297913,BG17.1,17,1,"अर्जुन उवाच |
ये शास्त्रविधिमुत्सृज्य यजन्ते श्रद्धयान्विताः |
तेषां निष्ठा तु का कृष्ण सत्त्वमाहो रजस्तमः ||१७-१||","17.1 Arjuna said  Those who, setting aside the ordinances of the scriptures, perform sacrifice with faith, what is their condition, O Krishna? Is is Sattva, Rajas or Tamas?"
What does Krishna say about controlling the mind?,4,0.11116811633110046,BG18.33,18,33,"धृत्या यया धारयते मनःप्राणेन्द्रियक्रियाः |
योगेनाव्यभिचारिण्या धृतिः सा पार्थ सात्त्विकी ||१८-३३||","18.33 The unwavering firmness by which, through Yoga, the functions of the mind, the life-force and the senses are restrained  that firmness, O Arjuna, is Sattvic (pure)."
What does Krishna say about controlling the mind?,5,0.10065558552742004,BG18.50,18,50,"सिद्धिं प्राप्तो यथा ब्रह्म तथाप्नोति निबोध मे |
समासेनैव कौन्तेय निष्ठा ज्ञानस्य या परा ||१८-५०||","18.50 Learn from Me in brief, O Arjuna, how he who has attained perfection reaches Brahman (the Eternal), that supreme state of knowledge."
